   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-bmc.xml
name:                    cpa-bmc
run sets:                sv-comp18
date:                    Wed, 2021-09-22 15:55:00 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -bmc -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio01
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91398399998 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-bmc -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                                                                                                                                        status                    cpu time   wall time        host
array-tiling/revcpyswp2_true-unreach-call.i                                                                                                                                                                      unknown                       3.73        1.42        None
array-tiling/rew_true-unreach-call.i                                                                                                                                                                             unknown                       3.76        1.42        None
array-tiling/rewnif_true-unreach-call.i                                                                                                                                                                          unknown                       3.79        1.37        None
array-tiling/rewnifrev2_true-unreach-call.i                                                                                                                                                                      unknown                       3.79        1.44        None
array-tiling/rewnifrev_true-unreach-call.i                                                                                                                                                                       unknown                       3.73        1.36        None
array-tiling/rewrev_true-unreach-call.i                                                                                                                                                                          unknown                       3.69        1.35        None
array-tiling/skipped_true-unreach-call.i                                                                                                                                                                         unknown                       3.79        1.37        None
array-tiling/tcpy_true-unreach-call.i                                                                                                                                                                            unknown                       3.82        1.39        None
array-programs/copysome1_false-unreach-call.i                                                                                                                                                                    unknown                       8.40        4.39        None
array-programs/copysome2_false-unreach-call.i                                                                                                                                                                    unknown                       9.64        5.54        None
array-programs/copysome1_true-unreach-call.i                                                                                                                                                                     unknown                       8.12        4.31        None
